collection,product_id,title,sales_gbp_30d,demand_searches_mo,organic_sessions_30d,profit_margin,matched_condition,seo_priority
pendant-lights,15222431121794,Scalloped Shaded Pendant Light & Jute Rope ~6517,0.0,50,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15222430269826,Shaded Hanging Light Hemp Rope Wire 1m ~6516,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15211906400642,40cm Large Dome Shaded Hemp Rope Pendant Light ~6564,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15208545124738,Drum Plug in Pendant Lighting With Dimmer ~6495,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15208529232258,Pendant Light Hemp Rope Drum Shade ~6494,0.0,12100,0,N/A (COGS pending),3,High
pendant-lights,15208447213954,E27 Dimmable Hanging Lights ~6492,0.0,70,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15194335871362,Vintage Style Brushed Copper Metal Ceiling Pendant Light~6468,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15194274759042,Pendant Light Fitting 195cm Adjustable ~6464,0.0,12100,0,N/A (COGS pending),3,High
pendant-lights,15187829752194,Industrial Swivel Ceiling Light Adjustable Semi Flush Fitting E27 ~6458,0.0,390,0,N/A (COGS pending),6,Low
pendant-lights,15185670078850,Rose Gold Pendant Light Single & Triple Head | Metal Cage ~6457,0.0,1300,0,N/A (COGS pending),6,Low
pendant-lights,15185667948930,Industrial Metal Shade E27 Pendant Light Kitchen Island ~6456,0.0,50,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15184628547970,3 Pack Shaded Bar Pendant Light Metal ~6693,0.0,590,3,N/A (COGS pending),6,Low
pendant-lights,15176022000002,2 Light Dome Pendant Light E27 Adjustable ~6451,0.0,170,1,N/A (COGS pending),6,Low
pendant-lights,15170044297602,Modern Crystal Pendant Light Shade Chandelier E27 Ceiling Hanging Lamp Fixture ~6441,0.0,390,0,N/A (COGS pending),6,Low
pendant-lights,15168975929730,Bamboo Hemp Ceiling Pendant Light Fixture~6440,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15164626207106,Vintage Industrial 3-Head Pendant Light | Black Metal Shades ~6435,0.0,50,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15163062747522,5-Way Spider Pendant Light | Adjustable Height Industrial Ceiling Lamp ~6433,0.0,320,0,N/A (COGS pending),6,Low
pendant-lights,15162214482306,Crystal Pendant Light – 3-Way Floral Glass | LEDSone UK ~6430,0.0,390,0,N/A (COGS pending),6,Low
pendant-lights,15160093049218,Industrial Ceiling Light Fitting | Retro Pendant Glass Shade E27 ~6426,0.0,390,2,N/A (COGS pending),6,Low
pendant-lights,15156134510978,Vintage Floral Glass 3-Light Cluster Pendant | Adjustable Ceiling Light ~6420,0.0,110,0,N/A (COGS pending),6,Low
pendant-lights,15145627189634,Industrial Cluster Pendant Light Fixtures ~6397,0.0,390,0,N/A (COGS pending),6,Low
pendant-lights,15144404222338,Adjustable Metal Ceiling Pendant Light ~6391,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15139784786306,Industrial Metal Cage Pendant Light Fitting ~6353,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15121175970178,Adjustable Hanging Light Fixtures Kit ~6334,0.0,170,0,N/A (COGS pending),6,Low
pendant-lights,15114173645186,Black 3 Head Modern Pendant Light ~6327,0.0,2900,0,N/A (COGS pending),3,High
pendant-lights,15112981807490,Retro Multi Arm Birdcage Pendant Light | E27 | Vintage | Adjustable ~6318,0.0,170,0,N/A (COGS pending),6,Low
pendant-lights,15109825036674,Industrial Glass Pendant  Lighting Fixtures ~6316,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15106577695106,Industrial Retro LED Ceiling Light ~6310,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15105611137410,Industrial LED Pendant Ceiling Light ~6307,0.0,10,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15097695207810,Over Counter Adjustable Hanging Ceiling Light Fixture ~6287,0.0,320,0,N/A (COGS pending),6,Low
pendant-lights,15094923297154,Vintage Metal Black Ceiling Hanging E27 95cm Adjustable Pendant Light ~6279,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15092131955074,Industrial Flush Mount Ceiling Light ~6277,0.0,390,0,N/A (COGS pending),6,Low
pendant-lights,15090943689090,8 Bulb 2m Fluming Spider Pendant Light ~6270,0.0,320,0,N/A (COGS pending),6,Low
pendant-lights,15090942017922,Industrial 8-Way Spider Chandelier 2m Adjustable ~6269,0.0,210,1,N/A (COGS pending),6,Low
pendant-lights,15083428675970,Modern Single Hanging Pendant Light Grey~6263,0.0,320,0,N/A (COGS pending),6,Low
pendant-lights,15072964149634,Industrial E27 Ceiling Light Fixture | Kitchen & Restaurant ~6251,0.0,390,2,N/A (COGS pending),6,Low
pendant-lights,15071747178882,Modern Black & Gold Baton Pendant Light 400mm LED Cylinder ~6246,0.0,2900,1,N/A (COGS pending),3,High
pendant-lights,15069172826498,Vintage Industrial Metal Ceiling Pendant Shade E27 Hanging Light ~6222,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15068619735426,LEDSone Industrial Pendant Light | 2M Adjustable Cable E27 ~6219,0.0,390,0,N/A (COGS pending),6,Low
pendant-lights,15065359057282,Vintage Industrial Ceiling Pendant Light E27 Base Metal Hanging Lamp Shade ~ 6211,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15065212256642,Mini Pendant Light Metal E27 ~6209,0.0,12100,0,N/A (COGS pending),3,High
pendant-lights,15059972292994,Pendant Light Fixture for Ceiling ~6204,0.0,12100,0,N/A (COGS pending),3,High
pendant-lights,15052649103746,E27 Hanging Pendant Light Adjustable ~6184,0.0,320,0,N/A (COGS pending),6,Low
pendant-lights,15051681399170,Industrial Spider Pendant Light Multi Arm E27 Adjustable Fitting ~ 6180,0.0,390,0,N/A (COGS pending),6,Low
pendant-lights,15046492094850,E27 Base Metal Pendant Light Adjustable ~6174,0.0,320,0,N/A (COGS pending),6,Low
pendant-lights,15043605561730,Semi Flush Mount Ceiling Light ~6172,0.0,50,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15042460811650,E27 Metal Hanging Lamp 1m Height Adjustable ~6169,0.0,390,0,N/A (COGS pending),6,Low
pendant-lights,15039066210690,Multi Fleming Spider Pendant Light Black ~6165,0.0,320,3,N/A (COGS pending),6,Low
pendant-lights,15011934437762,Vintage Industrial 2-Head Dome Pendant Light | Adjustable ~6145,0.0,50,2,N/A (COGS pending),1,Low — flag for review
pendant-lights,15000444338562,Modern Spider Light Chandelier Multi Pendant Light Ceiling Lamp Loft Fixture E27 ~6141,0.0,390,0,N/A (COGS pending),6,Low
pendant-lights,14995625640322,Modern Adjustable 3-Light Crystal Shade Pendant Chandelier ~ 6137,0.0,2900,0,N/A (COGS pending),3,High
pendant-lights,14992445997442,Retro Hemp Pendant Light  E27 Ceiling Hanging Pendant Light~6130,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14986988323202,Industrial 3-Light Pendant with Brass Holder  E27 Fit ~ 6122,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14986530292098,Vintage 3 Head Pendant Light Braided Fabric Flex Lamp Holder Fitting ~ 6121,0.0,260,0,N/A (COGS pending),6,Low
pendant-lights,14984125350274,Black Metal Single Head Adjustable Pendant Light~6117,0.0,110,0,N/A (COGS pending),6,Low
pendant-lights,14983364116866,Industrial pipe ceiling pendant light kit with Conduit Fisherman Cage ~ 6114,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14979601891714,Industrial Pipe Pendant Light with Metal 21cm cage Hanging Conduit Set ~ 6112,0.0,390,1,N/A (COGS pending),6,Low
pendant-lights,14979285942658,Industrial Steampunk Pipe Pendant Light E27 Metal cage hanging Lights~6111,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14975890751874,5 Way Ceiling Pendant Light Industrial Hanging Lamp ~6108,0.0,1600,0,N/A (COGS pending),6,Low
pendant-lights,14975886721410,Vintage 5 Way Ceiling Pendant Light Industrial Hanging Suspended Lamp ~6107,0.0,10,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14975509266818,Vintage Loft Style Ceiling Pendant Light with Metal Flat Shade ~6106,0.0,10,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14975504843138,Vintage Retro Pendant Light with Metal Shade for Bedrooms or Kitchen Island ~6105,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14975177523586,5 Way Vintage Ceiling Spider Hanging Lights 2M ~6104,0.0,110,0,N/A (COGS pending),6,Low
pendant-lights,14973874569602,3/4 Entry Lantern Caged Steampunk Pipe Conduit Pendant Light Kit ~6102,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14970640007554,Vintage Industrial Metal E27 Ceiling Pendant Light fixture~6056,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14964936671618,Vintage Brass Pendant Holder Buy Online ~6044,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14961264918914,4M Fabric Flex Plug-In Pendant Light Set on/off Foot Switch~6041,0.0,30,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14959191949698,Industrial Metal Black Bulb Guard Wire Cage Ceiling Pendant Lighting~6018,0.0,0,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,14958830223746,Industrial 95cm Adjustable E27 Holder Ceiling Pendant Lighting~6007,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14957531332994,Pendant Lights For Over An Island Easy to Fit ~5998,0.0,6600,0,N/A (COGS pending),3,High
pendant-lights,14951487439234,Geometric Minimalist Pendant Light E27 Metal ~5970,0.0,70,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14950484967810,Cyan Blue Pendant Light Fitting E27 Hanging Bulb ~5967,0.0,260,0,N/A (COGS pending),6,Low
pendant-lights,14949723668866,Industrial Lattice Pendant Cylinder Basket Ceiling Light E27 Fitting ~5965,0.0,390,0,N/A (COGS pending),6,Low
pendant-lights,14944163266946,Vintage Nest Metal Wire Cage Ceiling Pendant Light Fitting ~5961,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14940699722114,Modern E27 Pendant Ceiling Light with 95cm PVC Cable ~5959,0.0,1000,0,N/A (COGS pending),6,Low
pendant-lights,14940507439490,Vintage Nautical Industrial Ceiling Lamp Pendant Light ~5958,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14937991709058,Vintage Smoked Glass Shade Pendant Ceiling Light~5954,0.0,20,2,N/A (COGS pending),1,Low — flag for review
pendant-lights,14934468723074,Vintage Retro 3 Way Diamond Cage Pendant Ceiling Light~5937,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14933977334146,Industrial Style Brushed Brass Curvy Dome Ceiling Hanging Pendant Light  ~5928,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14933958820226,Dome Shade Modern Pendant Light ~5924,0.0,90,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14933203222914,Ceiling Pendant Light Modern Hanging Retro Lamp UK~5911,0.0,1600,0,N/A (COGS pending),6,Low
pendant-lights,14932713210242,Modern Pendant Lighting for Restaurant and Cafe~5907,0.0,3600,0,N/A (COGS pending),3,High
pendant-lights,14932618477954,Industrial 3-Head Pendant Light with Adjustable Cables – E27 Compatible ~5903,0.0,390,1,N/A (COGS pending),6,Low
pendant-lights,14932468662658,3 Bulb Ceiling Pendant Light Kitchen E27 Metal ~5899,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14932416594306,Metal Pendant Ceiling Light Over Kitchen Island ~5897,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14930662588802,2m Industrial Metal Ceiling Pendant Light Fitting ~~5942,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14930634768770,Round 3-Head Pendant Light with Adjustable Cables – E27 Compatible ~5876,0.0,170,0,N/A (COGS pending),6,Low
pendant-lights,14930607112578,Modern 3 head Light Clear Crystal Shade Pendant Light ~5873,0.0,390,0,N/A (COGS pending),6,Low
pendant-lights,14930593284482,Pendant Lamp Bulb Holder Ceiling Light E27 Fitting  ~5872,0.0,140,0,N/A (COGS pending),6,Low
pendant-lights,14929692524930,Vintage Industrial Metal Cone Pool Table Light - E27 Pendant Lamp ~ 5865,0.0,0,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,14928494133634,Modern Pendant Lighting for Kitchen Island ~5839,0.0,3600,0,N/A (COGS pending),3,High
pendant-lights,14928487612802,Retro Metal Industrial Ceiling Pendant | Modern Hanging Light~5838,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14928368238978,Vintage Nest Wire Cage Ceiling Pendant Cluster Light Fitting ~5814,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14928360669570,Adjustable E27 Cage Pendant Lighting Fixture - 5810,0.0,50,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14927609495938,Living Room Pendant Light – Adjustable Metal Wire Cage Ceiling Lamp ~5801,0.0,12100,0,N/A (COGS pending),3,High
pendant-lights,14927534457218,Vintage Industrial Ceiling Light Metal Dome Shade Pendant Light~5798,0.0,50,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14927394275714,"Vintage Hemp Rope Pendant Light – Dual Head, 3m Extra Long Adjustable E27~5791",0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14926522614146,3-Bulb Ceiling Pendant Light | E27 Fitting ~5789,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14925622444418,3 Bulb Rustic Farmhouse Pendant Light Fixture ~5786,0.0,140,1,N/A (COGS pending),6,Low
pendant-lights,14925606748546,Brushed Silver Ceiling Light Vintage Metal Cage Pendant Lamp~5786,0.0,320,0,N/A (COGS pending),6,Low
pendant-lights,14925554614658,Industrial 2-Light Spider Pendant Adjustable Hanging Lamp ~ 5782,0.0,720,0,N/A (COGS pending),6,Low
pendant-lights,14925407846786,3 Way Ceiling Pendant Light Retro E27 ~5779,0.0,1600,0,N/A (COGS pending),6,Low
pendant-lights,14925398409602,E27 Vintage Pendant Fitting Kit With On Off Holder ~5776,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14925365182850,3 Light Industrial Chrome Diner Ceiling Light Easy fit  ~5778,0.0,390,0,N/A (COGS pending),6,Low
pendant-lights,14925041566082,Vintage Industrial Spider Ceiling Light Chandelier Pendant Lamp ~ 5773,0.0,140,0,N/A (COGS pending),6,Low
pendant-lights,14925007192450,Ceiling Pendant Light Hemp Rope Lamp ~5771,0.0,1600,0,N/A (COGS pending),6,Low
pendant-lights,14924998574466,3-Way Yellow Brass Vintage Industrial Cluster Pendant Ceiling Light | E27~5769,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14924979175810,Vintage Industrial Spider Ceiling Light Chandelier Pendant Lamp ~ 5762,0.0,140,0,N/A (COGS pending),6,Low
pendant-lights,14924942868866,Modern Industrial E27 Pendant Light Kit 95cm Adjustable ~5760,0.0,390,0,N/A (COGS pending),6,Low
pendant-lights,14924718440834,Contemporary Kitchen Island Pendant Lights Metal E27 ~5758,0.0,880,0,N/A (COGS pending),6,Low
pendant-lights,14922510041474,Vintage Industrial Metal Pendant Light Shade for Retro Ceiling Lamps~5747,0.0,50,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14922498343298,Vintage Ceiling Pendant Light Industrial Metal Hanging Lamp Shade~5746,0.0,10,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14922491625858,Ceiling Rose Fabric Flex Hanging Pendant Lamp Holder Light Fitting Kit ~5743,0.0,590,1,N/A (COGS pending),6,Low
pendant-lights,14921161048450,Industrial Metal Refurbished Cone shade Ceiling Pendant Light ~ 5738,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14909245653378,Hemp Rope Pendant Light - E27 Edison Base ~5717,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14909172908418,2 Way Hanging Pendant Light Industrial Retro Twin E27 Ceiling Fitting~5716,0.0,320,0,N/A (COGS pending),6,Low
pendant-lights,14908694430082,Modern Black Pendant Lights Contemporary Ceiling Lamps ~5719,0.0,480,0,N/A (COGS pending),6,Low
pendant-lights,14907824243074,Industrial Vintage Style Ceiling Hanging Pendant Lamp Fixture ~5715,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14906896810370,Industrial Retro Barn Metal Pendant Light E27 Adjustable ~ 5711,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14903375888770,Industrial Dome Pendant Light 40cm E27 Yellow  ~ 5709,0.0,390,0,N/A (COGS pending),6,Low
pendant-lights,14900895351170,Industrial Ceiling Light Vintage Hanging Metal Cage Pendant Lamp~ 5708,0.0,390,0,N/A (COGS pending),6,Low
pendant-lights,14892316885378,Industrial cone shade Metal E27 Ceiling Pendant Light~5689,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14880702562690,Vintage Metal Single Head Shade E27  Hanging Pendant Light ~6670,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14880118145410,Black And Brass Linear Pendant Ceiling Light E27 ~5638,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14880113525122,Vintage Amber Glass E27 Adjustable Ceiling Pendant Light Fixture-5637,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14872929468802,Industrial E27 Pendant Light Metal Holder 1m/2m~5574,0.0,390,0,N/A (COGS pending),6,Low
pendant-lights,14872907350402,Hemp Rope Hanging Pendant light ~5573,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8631162994938,Black E27 Pendant Light Fitting Holder~5531,0.0,2900,0,N/A (COGS pending),3,High
pendant-lights,8629863710970,Turkish Mosaic Light Moroccan Style Glass ~5524,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8629243805946,LEDSone Modern Crystal Pendant Light Metal Black LED Ceiling Light ~5521,0.0,390,0,N/A (COGS pending),6,Low
pendant-lights,8570797981946,Industrial Pendant Lighting for Kitchen ~ 5512,0.0,1600,0,N/A (COGS pending),6,Low
pendant-lights,8450296545530,Lampe suspendue industrielle avec abat-jour en métal plafonnier suspendu ~ 5473,0.0,,0,N/A (COGS pending),1/6 (demand unmapped; Low either way),Low — flag for review
pendant-lights,8436743930106,E27 Metal Pendant Bulb Holder with Adjustable Cable~5464,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8296599552250,Hemp Rope Pendant Light - E27 Base ~5445,0.0,20,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,8190697734394,Minimalist lighting Cone Pendant Light Fixture ~5412,0.0,140,0,N/A (COGS pending),6,Low
pendant-lights,8166990774522,Single Small Lamp Shade Hanging Light ~5347,0.0,0,4,N/A (COGS pending),1,Low — flag for review
pendant-lights,8166946832634,Living Room Large Rope Pendant Light~5345,0.0,260,0,N/A (COGS pending),6,Low
pendant-lights,8166941917434,Industrial Ceiling Light For Living Room~5344,0.0,390,3,N/A (COGS pending),6,Low
pendant-lights,8166938509562,Industrial Metal 2m Hemp Rope Hanging Ceiling Pendant Light~5343,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8165869584634,Industrial Retro 2-Light Pendant Lamp ~5330,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8163100819706,3-Light Hanging Brushed Brass Cage Pendent Fixture~5318,0.0,33100,0,N/A (COGS pending),3,High
pendant-lights,8162932785402,3-Light Metal Cage Cluster Pendant – Ceiling Mount (Model 5313),0.0,33100,0,N/A (COGS pending),3,High
pendant-lights,8161229570298,Black industrial pendant light 3 Light Way Cage Ceiling Light Fixture ~ 5301,0.0,140,2,N/A (COGS pending),6,Low
pendant-lights,8160583778554,Industrial Dome Pendant Light - E27 Base ~5298,0.0,390,0,N/A (COGS pending),6,Low
pendant-lights,8160580829434,3 Head Black Square Wire Cage Bar Triple Hanging Pendant Light ~5297,0.0,20,12,N/A (COGS pending),1,Low — flag for review
pendant-lights,8156630352122,Industrial 3 Way Pendant Light E27 Triple Dome Ceiling Fitting ~5268,0.0,390,5,N/A (COGS pending),6,Low
pendant-lights,8156619636986,Modern Teardrop Metal Pendant Light | E27 Ceiling Hanging Fixture ~5267,0.0,320,0,N/A (COGS pending),6,Low
pendant-lights,8156619211002,3 Way Black dustrial  Hanging Pendant Light ~5266,0.0,2900,1,N/A (COGS pending),3,High
pendant-lights,8132266230010,3-Head Colourful Spider Pendant Light | E27 | UK ~5184,0.0,320,1,N/A (COGS pending),6,Low
pendant-lights,8114277515514,Stylish Light Bulb Cages & Cluster Ceiling Lights ~ 5168,0.0,1000,2,N/A (COGS pending),6,Low
pendant-lights,8110921908474,3 light Pendant Light fixture bulb guard cage~5147,0.0,30,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,8109892501754,Black Wire Cage Cluster Hanging Light Diamond Shape ~5146,0.0,0,3,N/A (COGS pending),1,Low — flag for review
pendant-lights,8109646545146,Single light Adjustable cable Cage Pendant Light Fixtures ~ 5145,0.0,170,0,N/A (COGS pending),6,Low
pendant-lights,8109554172154,Cage Pendant Light Long Tube Cluster Fixture~5144,0.0,170,0,N/A (COGS pending),6,Low
pendant-lights,8109475168506,Cage 3 Light Island Black Pendant Beautiful Design ~ 5140,0.0,210,1,N/A (COGS pending),6,Low
pendant-lights,8108295782650,3 light Hanging Pendant Light for Restaurent Cafe ~ 5139,0.0,320,0,N/A (COGS pending),6,Low
pendant-lights,8108243058938,3 light Hanging Pendant Light Metal Shade Lamp Light ~ 5138,0.0,320,0,N/A (COGS pending),6,Low
pendant-lights,8108133384442,single pendant light Adjustable height with metal cone shade~ 5137,0.0,170,0,N/A (COGS pending),6,Low
pendant-lights,8106532503802,Industrial 3-Light Cage Pendant Hanging Light E27 ~ 5133,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8106514088186,3 light Cluster Pendant Industrial Hanging Light For Cafe Bar Restaurant ~ 5131,0.0,140,3,N/A (COGS pending),6,Low
pendant-lights,8104621244666,Industrial Ceiling 5 light Pendant Light Fitting for staircase~ 5130,0.0,390,1,N/A (COGS pending),6,Low
pendant-lights,8104560591098,Cluster Lighting For Dining Room~5129,0.0,170,2,N/A (COGS pending),6,Low
pendant-lights,8103238009082,White Spider Industrial Twin Head Pendant Light E27 Adjustable~5127,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8103171031290,Industrial 3 Light Metal Cage Shade Hanging Pendant Light ~ 5125,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8100970397946,Bulb guard Metal Cage Ceiling Hanging Pendant Light~ 5683,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8100967710970,Modern Hemp Rope  Hanging Pendant Lights For Cafe Restaurant Bar~ 5117,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8100938973434,3-Light Cluster Pendant Light Black Cage Lighting fixture~ 5116,0.0,1000,1,N/A (COGS pending),6,Low
pendant-lights,8100586193146,8 light spider pendant Light E27 adjustable swag hook~ 5110,0.0,320,1,N/A (COGS pending),6,Low
pendant-lights,8100585668858,3 Light Red Cage cluster Hanging Pendant Light ~ 5113,0.0,170,0,N/A (COGS pending),6,Low
pendant-lights,8100560994554,Single Ceiling Pendant Lamp Swag Hanging Light ~ 5112,0.0,10,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8078158856442,Single Ceiling Hemp Rope Hanging Pendant light with Bulb Guard wire cage light~5089,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8075192238330,Industrial Hemp Rope Pendant Ceiling Light with FREE BULB~5082,0.0,0,5,N/A (COGS pending),1,Low — flag for review
pendant-lights,8075133419770,Industrial Cage Hemp Rope Pendant Light E27~5080,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8075005526266,Hemp Rope Pendant Lights for Kitchen Island ~5079,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8074844700922,Hemp Rope Pendant Light Vintage Hanging Cone Lampshade~5078,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8073630122234,Vintage Industrial 3-Way Pendant Light – Black Retro E27 Ceiling Lamp ~5969,0.0,50,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8062184456442,Modern Linear Pendant Lighting with Rectangle Clear Crystal Shade~5051,0.0,10,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8062177739002,3 Light Crystal Pendant Light ~5050,0.0,390,1,N/A (COGS pending),6,Low
pendant-lights,8061987029242,Ceiling Hanging Light Cage Shade Loft Style Metal Ceiling Pendant Lamp~5047,0.0,50,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,8060940943610,Hemp Rope Metal Hooked Pendant Light ~5045,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8060683256058,Vintage 2m Hemp Rope Pendant Ceiling Light | Metal Shade Kitchen Bar~5044,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8060417802490,Industrial Nautical Hemp Rope Pendant Light E27 2m 30cm ~5042,0.0,20,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,8037899141370,Metal Cage Hemp Rope Black Pendant Light - E27 Base ~6235,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8037315051770,Cluster Pendant Light For Dinning Table ~5017,0.0,1000,2,N/A (COGS pending),6,Low
pendant-lights,8028262564090,Vintage Industrial Cage Pendant Light - E27 Base Ceiling Lights ~5003,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8027660943610,Pendant Lighting With Black Wire Cage~4996,0.0,3600,1,N/A (COGS pending),3,High
pendant-lights,8026831749370,Moroccan style mosaic glass pendant light~4991,0.0,1300,0,N/A (COGS pending),6,Low
pendant-lights,8026793443578,Vintage Mosaic Globe Ceiling Pendant Light - Handcrafted Hanging Tiffany Light~4989,0.0,10,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8014623506682,Cluster Pendant Light For Living room ~4940,0.0,1000,0,N/A (COGS pending),6,Low
pendant-lights,8013134889210,Turkish Mosaic Glass Globe Pendant Light E27 14cm Multicolour Antique Brass~4910,0.0,1300,1,N/A (COGS pending),6,Low
pendant-lights,8012309430522,Vintage E27 Bulb Holder Suspension Light Fitting Ceiling Hanging Pendant Light ~4906,0.0,260,4,N/A (COGS pending),6,Low
pendant-lights,8011571331322,Black Diamond Wire Cage Hanging 3 Pendant  Light Fixture ~4800,0.0,20,2,N/A (COGS pending),1,Low — flag for review
pendant-lights,8011103797498,Vintage Industrial Style 1m Yellow Brass Ceiling E27 Pendant Lamp Holder Fitting~4783,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,8010555457786,Single Spider Pendant Light Fitting Adjustable 1M | 2M  ~4740,0.0,320,1,N/A (COGS pending),6,Low
pendant-lights,8010419798266,Square Crystal Glass Pendant Light Modern Chrome E27 Fitting~4682,0.0,20,8,N/A (COGS pending),1,Low — flag for review
pendant-lights,8010062004474,9-Head Spider Pendant Light – Multi-Colour Swag Hook Plug-In Lighting ~4667,0.0,320,0,N/A (COGS pending),6,Low
pendant-lights,8010052993274,3 Head Swag Spider Pendant Light Multiple Color~4659,0.0,320,0,N/A (COGS pending),6,Low
pendant-lights,8009550758138,Crystal Pendant Light – Round Mini Chandelier for Kitchen Island ~4633,0.0,390,18,N/A (COGS pending),6,Low
